Married,Female,White,Age,Edu
N,Y,Y,5,N
N,Y,Y,5,N
N,Y,N,5,Y
N,Y,Y,5,N
N,Y,Y,3,Y
N,Y,Y,3,N
N,N,Y,3,N
N,Y,Y,5,Y
N,Y,Y,5,N
N,N,Y,3,Y
N,Y,N,4,Y
N,N,Y,3,Y
N,Y,Y,5,Y
N,N,Y,2,Y
N,N,Y,5,Y
N,N,Y,4,Y
N,N,Y,4,N
N,N,Y,5,Y
N,N,N,1,Y
N,N,Y,3,Y
N,N,Y,3,Y
N,Y,Y,2,N
N,Y,Y,5,N
Y,N,Y,5,Y
Y,N,Y,5,N
Y,N,Y,1,Y
Y,N,Y,2,N
Y,N,Y,4,N
N,N,Y,3,N
N,N,Y,3,N
N,N,Y,1,Y
N,Y,Y,5,N
N,N,Y,5,Y
N,N,Y,5,Y
N,N,N,5,N
N,Y,Y,5,Y
N,N,Y,5,N
N,Y,Y,5,Y
N,Y,Y,3,Y
N,Y,Y,5,Y
N,N,Y,4,Y
N,Y,Y,4,Y
N,Y,Y,5,Y
N,Y,Y,4,Y
Y,N,Y,5,N
N,Y,Y,4,Y
Y,N,Y,5,N
Y,N,N,5,N
Y,Y,Y,5,Y
Y,N,Y,5,Y
N,N,Y,3,Y
N,Y,Y,4,N
N,N,Y,5,Y
N,Y,Y,4,Y
N,N,Y,3,Y
N,N,Y,2,Y
N,N,Y,5,Y
N,N,Y,3,Y
N,Y,Y,3,Y
N,N,Y,2,Y
N,N,Y,4,Y
N,N,Y,4,N
Y,Y,Y,4,Y
Y,N,N,5,Y
Y,N,Y,3,Y
Y,N,Y,5,Y
