BMI,Female,Black
28.70,0,1
28.31,0,0
22.70,1,0
28.66,0,1
30.21,0,1
29.10,0,0
29.13,0,0
27.72,0,1
25.80,0,1
25.08,1,0
30.00,0,0
29.11,0,0
27.17,0,1
33.64,0,0
23.82,0,1
24.72,0,0
26.51,1,0
25.34,0,1
30.88,1,1
29.87,1,1
28.34,0,1
25.71,0,1
26.29,0,0
26.86,0,0
23.54,0,1
28.56,0,1
29.97,0,1
24.56,1,0
29.69,1,1
25.03,1,0
29.64,0,0
30.58,0,0
31.11,1,1
25.19,1,0
26.09,0,0
25.64,0,0
28.98,0,0
28.51,1,1
27.04,0,1
25.99,0,1
27.95,0,0
29.16,0,1
30.18,0,0
26.46,0,1
27.15,0,1
31.09,1,1
25.67,0,0
25.68,0,1
23.91,1,0
31.14,0,0
28.03,1,1
25.42,0,1
25.99,0,1
29.31,0,0
29.06,0,0
22.95,1,0
31.34,0,0
25.99,0,0
28.44,0,0
28.63,1,1
25.88,1,1
22.94,0,1
25.82,0,0
23.60,0,0
27.78,0,0
26.55,0,1
30.52,0,1
30.82,0,0
26.48,0,0
29.63,0,0
27.61,0,0
25.18,0,0
27.75,0,0
31.31,0,1
28.34,0,0
32.88,0,0
28.06,0,0
24.86,1,0
29.60,0,0
24.80,1,0
27.38,0,0
24.81,0,1
27.57,0,1
27.55,0,0
34.07,1,1
29.29,0,1
29.46,0,0
31.24,1,1
26.81,0,0
25.08,1,0
21.07,1,0
24.97,0,1
30.36,0,0
26.62,0,1
28.14,0,1
25.75,0,0
28.13,0,0
30.56,0,0
26.76,1,0
28.67,1,0
24.12,0,1
27.99,0,0
30.77,0,1
27.79,0,1
24.48,0,1
24.52,0,1
27.23,0,0
27.23,0,1
27.35,0,0
25.09,1,0
28.89,0,1
28.60,0,0
25.43,0,0
27.37,0,1
26.28,0,0
30.49,0,0
33.00,1,1
25.69,0,1
29.58,0,0
24.90,0,1
