Year,Quarter,Revenue
2010,1,"12,388"
2010,2,"14,361"
2010,3,"11,586"
2010,4,"10,480"
2011,1,"12,185"
2011,2,"14,543"
2011,3,"11,851"
2011,4,"11,629"
2012,1,"13,153"
2012,2,"14,249"
2012,3,"12,073"
2012,4,"11,046"
2013,1,"13,088"
2013,2,"15,712"
2013,3,"12,957"
2013,4,"11,660"
2014,1,"13,403"
2014,2,"16,598"
2014,3,"13,681"
2014,4,"12,541"
2015,1,"14,129"
2015,2,"17,349"
2015,3,"14,360"
2015,4,"13,236"
2016,1,"15,234"
2016,2,"18,260"
2016,3,"15,739"
2016,4,"15,784"
2017,1,"16,860"
2017,2,"19,495"
2017,3,"16,770"
2017,4,"15,494"
2018,1,"17,360"
2018,2,"20,887"
2018,3,"17,415"
2018,4,"15,646"
2019,1,"17,741"
2019,2,"20,992"
2019,3,"17,388"
2019,4,"16,027"
2020,1,"19,675"
2020,2,"27,302"
2020,3,"22,309"
2020,4,"20,311"
