Smoke,FrVg,Income
14.6,23.3,61604
16.4,20.3,39980
15.5,20.4,36538
11,24.1,45739
8.1,27.7,56134
12,24.7,55930
10.7,28.3,64851
9,31.4,53141
13.2,25,52114
13.9,24.5,45631
12.6,24.5,43340
10.3,23.5,55649
13.4,18.4,50721
12.2,24.6,46778
12,22.4,52870
17.1,20.6,44305
13.2,18.6,44717
20.5,21,42664
16.4,16.9,45433
10.9,26.2,59373
10.3,27.6,47502
12.5,27.9,64186
13.6,22.5,45994
11.2,21.8,56090
18.2,19.8,48769
17,16.8,35078
12.2,25.7,40437
14.4,20.6,41906
13.3,22.5,50075
12.9,20.9,49595
11.3,27.9,64131
10,26.3,64777
11.2,23.1,43542
15.7,23.7,51434
12,26.7,50216
15.6,21,45879
18.8,14.5,45878
13.1,26.3,49098
15.1,24.1,48172
10.2,26.1,51634
14.6,17.4,41101
12.4,15.7,45826
17.6,23.3,40517
11.7,23.8,47475
6.9,23.3,58491
13.8,27.3,52318
12.5,29.3,60501
10.7,25,60392
12.6,22.7,51237
20.6,16.1,40490
15.2,23.3,52470
